Drug1	Drug2	Drug1_ATC_Code	Drug2_ATC_Code	ATC_Jacard_Sim	Similarity
perphenazine	fluphenazine	N05AB03	N05AB02	1.0	0.8055504
perphenazine	clopenthixol	N05AB03	N05AF02	1.0	0.7297751
perphenazine	methotrimeprazine	N05AB03	N05AA02	1.0	0.7092645
perphenazine	molindone	N05AB03	N05AE02	1.0	0.76307374
perphenazine	sertindole	N05AB03	N05AE03	1.0	0.7201022
perphenazine	pipamperone	N05AB03	N05AD05	1.0	0.7083959
perphenazine	promazine	N05AB03	N05AA03	1.0	0.7200696
perphenazine	chlorprothixene	N05AB03	N05AF03	1.0	0.730677
perphenazine	melperone	N05AB03	N05AD03	1.0	0.7367291
perphenazine	bromperidol	N05AB03	N05AD06	1.0	0.7795527
perphenazine	tiapride	N05AB03	N05AL03	1.0	0.75158364
perphenazine	zuclopenthixol	N05AB03	N05AF05	1.0	0.72491723
vidarabine	idoxuridine	J05AB03,S01AD06	J05AB02,S01AD01,D06BB01	0.6666666666666666	0.7633753
iclaprim	oritavancin	J01EA03	J01XA05	1.0	0.75439686
iclaprim	telavancin	J01EA03	J01XA03	1.0	0.7849135
ketoprofen	piroxicam	M01AE53,M02AA10,M01AE03	S01BC06,M02AA07,M01AC01	0.5	0.7247213
ketoprofen	ibuprofen	M01AE53,M02AA10,M01AE03	M02AA13,R02AX02,C01EB16,M01AE51,M01AE01,G02CC01	0.25	0.746896
ketoprofen	aceclofenac	M01AE53,M02AA10,M01AE03	M01AB16,M02AA25	1.0	0.7060339
ketoprofen	naproxen	M01AE53,M02AA10,M01AE03	M01AE02,M01AE52,M01AE56,M02AA12,G02CC02	0.5	0.71752906
ketoprofen	flurbiprofen	M01AE53,M02AA10,M01AE03	R02AX01,M01AE09,M02AA19,S01BC04	0.3333333333333333	0.7061333
oxyphenonium	oxitropium	A03AB53,A03AB03	R03BB02	0.0	0.76100177
oxyphenonium	propantheline	A03AB53,A03AB03	A03AB05,A03CA34	1.0	0.7912257
oxyphenonium	clidinium	A03AB53,A03AB03	A03CA02	1.0	0.7720559
oxyphenonium	methantheline	A03AB53,A03AB03	A03AB07	1.0	0.73897
oxyphenonium	cimetropium	A03AB53,A03AB03	A03BB05	1.0	0.83223504
oxyphenonium	pinaverium	A03AB53,A03AB03	A03AX04	1.0	0.79977506
oxyphenonium	otilonium	A03AB53,A03AB03	A03AB06,A03CA04	1.0	0.81538963
oxyphenonium	methscopolamine	A03AB53,A03AB03	A03CB01,S01FA03,A03BB03	0.5	0.73028135
oxyphenonium	fentonium	A03AB53,A03AB03	A03BB04	1.0	0.7178016
oxyphenonium	demecarium	A03AB53,A03AB03	S01EB04	0.0	0.75227904
oxyphenonium	timepidium	A03AB53,A03AB03	A03AB19	1.0	0.80200404
moxifloxacin	levofloxacin	J01MA14,S01AE07	J01RA05,A02BD10,S01AE05,J01MA12	0.6666666666666666	0.70653254
droxidopa	midodrine	C01CA27	C01CA17	1.0	0.711452
olodaterol	salmeterol	R03AL06,R03AC19	R03AK06,R03AK12,R03AC12	1.0	0.7932342
olodaterol	vilanterol	R03AL06,R03AC19	R03AK10,R03AL03	1.0	0.75809485
olodaterol	indacaterol	R03AL06,R03AC19	R03AL04,R03AC18	1.0	0.83745134
olodaterol	glycopyrronium	R03AL06,R03AC19	R03AL04,R03BB06,A03CA05,A03AB02	0.5	0.7756635
olodaterol	aclidinium	R03AL06,R03AC19	R03AL05,R03BB05	1.0	0.739902
olodaterol	formoterol	R03AL06,R03AC19	R03AK11,R03AK07,R03AL05,R03AK08,R03AC13,R03AK09	1.0	0.7721835
olodaterol	umeclidinium	R03AL06,R03AC19	R03BB07,R03AL03	1.0	0.8078399
olodaterol	tiotropium	R03AL06,R03AC19	R03AL06,R03BB04,R03BB54	1.0	0.8225865
warfarin	acenocoumarol	B01AA03	B01AA07	1.0	0.7092868
warfarin	rivaroxaban	B01AA03	B01AF01	1.0	0.7716744
warfarin	apixaban	B01AA03	B01AF02	1.0	0.75533
lasofoxifene	bazedoxifene	G03XC03	G03CC07,G03XC02	1.0	0.762511
lasofoxifene	ospemifene	G03XC03	G03XC05	1.0	0.73853606
lasofoxifene	raloxifene	G03XC03	G03XC01	1.0	0.71932054
ceftriaxone	ampicillin	J01DD04,J01DD54	J01CR50,S01AA19,J01CA01,J01CR01,J01CA51	0.5	0.71849
ceftriaxone	cefotaxime	J01DD04,J01DD54	J01DD51,J01DD01	1.0	0.7067624
ceftriaxone	cefazolin	J01DD04,J01DD54	J01DB04	1.0	0.7218178
gemcitabine	carboplatin	L01BC05	L01XA02	1.0	0.75551635
gemcitabine	docetaxel	L01BC05	L01CD02	1.0	0.701116
gemcitabine	paclitaxel	L01BC05	L01CD01	1.0	0.7498999
gemcitabine	cisplatin	L01BC05	L01XA01	1.0	0.7603527
gemcitabine	irinotecan	L01BC05	L01XX19	1.0	0.7896282
evolocumab	ezetimibe	C10AX13	C10BA02,C10BA05,C10AX09,C10BA06	1.0	0.70852464
evolocumab	lomitapide	C10AX13	C10AX12	1.0	0.7002513
prednicarbate	alclometasone	D07AC18	D07AB10,S01BA10	0.5	0.7127667
prednicarbate	halcinonide	D07AC18	D07AD02	1.0	0.7043602
prednicarbate	fluocinonide	D07AC18	D07CC05,C05AA11,D07AC08	0.5	0.7279405
prednicarbate	amcinonide	D07AC18	D07AC11	1.0	0.7241039
abatacept	tocilizumab	L04AA24	L04AC07	1.0	0.7212017
abatacept	golimumab	L04AA24	L04AB06	1.0	0.7175739
abatacept	belimumab	L04AA24	L04AA26	1.0	0.7166438
abatacept	ustekinumab	L04AA24	L04AC05	1.0	0.7093768
diatrizoate	iomeprol	V08AA01	V08AB10	1.0	0.72113407
diatrizoate	iopromide	V08AA01	V08AB05	1.0	0.74719936
diatrizoate	ioversol	V08AA01	V08AB07	1.0	0.7432016
diatrizoate	iopamidol	V08AA01	V08AB04	1.0	0.7609738
terbutaline	procaterol	R03CC53,R03AC03,R03CC03	R03AC16,R03CC08	1.0	0.7092836
terbutaline	fenoterol	R03CC53,R03AC03,R03CC03	R03AL01,R03AC04,R03CC04,G02CA03	0.5	0.74724984
donepezil	rivastigmine	N06DA02,N06DA53,N06DA52	N06DA03	1.0	0.74067175
donepezil	galantamine	N06DA02,N06DA53,N06DA52	N06DA04	1.0	0.7838149
carisoprodol	meprobamate	M03BA52,M03BA02,M03BA72	N05CX01,N05BC51,N05BC01	0.0	0.78251773
carisoprodol	methaqualone	M03BA52,M03BA02,M03BA72	N05CM01,N05CX02	0.0	0.7150664
carisoprodol	dextropropoxyphene	M03BA52,M03BA02,M03BA72	N02AC54,N02AC74,N02AC04	0.0	0.7207281
carisoprodol	butalbital	M03BA52,M03BA02,M03BA72	N05CB01	0.0	0.702287
ropivacaine	bupivacaine	N01BB09	N01BB51,N01BB01	1.0	0.8279328
ropivacaine	sufentanil	N01BB09	N01AH03	1.0	0.7103691
ropivacaine	mepivacaine	N01BB09	N01BB53,N01BB03	1.0	0.72342104
ropivacaine	levobupivacaine	N01BB09	N01BB10	1.0	0.7841153
ropivacaine	lidocaine	N01BB09	C01BB01,N01BB02,D04AB01,R02AD02,S02DA01,C05AD01,S01HA07,N01BB52	0.2	0.7278845
tretinoin	fluocinonide	L01XX14,D10AD01,D10AD51	D07CC05,C05AA11,D07AC08	0.3333333333333333	0.7316078
tretinoin	tazarotene	L01XX14,D10AD01,D10AD51	D05AX05	0.5	0.82485133
tretinoin	desonide	L01XX14,D10AD01,D10AD51	D07BB02,D07AB08,S01BA11	0.3333333333333333	0.7056751
tretinoin	adapalene	L01XX14,D10AD01,D10AD51	D10AD03,D10AD53	0.5	0.8104989
levofloxacin	ciprofloxacin	J01RA05,A02BD10,S01AE05,J01MA12	J01MA02,J01RA11,J01RA12,S02AA15,S01AE03,S03AA07,J01RA10	0.6666666666666666	0.7802097
levofloxacin	sitafloxacin	J01RA05,A02BD10,S01AE05,J01MA12	J01MA21	0.3333333333333333	0.7026036
levofloxacin	ofloxacin	J01RA05,A02BD10,S01AE05,J01MA12	J01MA01,S02AA16,S01AE01,J01RA09	0.6666666666666666	0.7216171
levofloxacin	amoxicillin	J01RA05,A02BD10,S01AE05,J01MA12	A02BD10,J01CR50,A02BD05,A02BD01,J01CA04,A02BD03,A02BD06,A02BD07,A02BD04,A02BD11,J01CR02	0.6666666666666666	0.7461716
dulaglutide	albiglutide	A10BX14	A10BX13	1.0	0.77858686
dulaglutide	lixisenatide	A10BX14	A10BX10	1.0	0.71927303
dulaglutide	exenatide	A10BX14	A10BX04	1.0	0.75941
nicergoline	flunarizine	C04AE02	N07CA03	0.0	0.7044089
nicergoline	vincamine	C04AE02	C04AX07	1.0	0.7043856
nicergoline	vinpocetine	C04AE02	N06BX18	0.0	0.7058714
nicergoline	bifemelane	C04AE02	N06AX08	0.0	0.7034386
nicergoline	dihydroergocristine	C04AE02	C04AE54,C04AE04	1.0	0.7144344
nicergoline	cyclandelate	C04AE02	C04AX01	1.0	0.71359664
nicergoline	piracetam	C04AE02	N06BX03	0.0	0.7046697
lamivudine	telbivudine	J05AR02,J05AR13,J05AR12,J05AR01,J05AR05,J05AR07,J05AR04,J05AF05,J05AR11,J05AR16	J05AF11	1.0	0.72272944
lamivudine	raltegravir	J05AR02,J05AR13,J05AR12,J05AR01,J05AR05,J05AR07,J05AR04,J05AF05,J05AR11,J05AR16	J05AX08,J05AR16	1.0	0.7035049
lamivudine	dolutegravir	J05AR02,J05AR13,J05AR12,J05AR01,J05AR05,J05AR07,J05AR04,J05AF05,J05AR11,J05AR16	J05AR13,J05AX12	1.0	0.7021379
lamivudine	zidovudine	J05AR02,J05AR13,J05AR12,J05AR01,J05AR05,J05AR07,J05AR04,J05AF05,J05AR11,J05AR16	J05AR01,J05AR05,J05AR04,J05AF01	1.0	0.7196764
lamivudine	entecavir	J05AR02,J05AR13,J05AR12,J05AR01,J05AR05,J05AR07,J05AR04,J05AF05,J05AR11,J05AR16	J05AF10	1.0	0.79375696
oxitropium	propantheline	R03BB02	A03AB05,A03CA34	0.0	0.7632342
oxitropium	clidinium	R03BB02	A03CA02	0.0	0.7613427
oxitropium	cimetropium	R03BB02	A03BB05	0.0	0.8160822
oxitropium	ipratropium	R03BB02	R03BB01,R03AL01,R03AL02,R01AX03	1.0	0.79327714
oxitropium	glycopyrronium	R03BB02	R03AL04,R03BB06,A03CA05,A03AB02	0.5	0.7238471
oxitropium	aclidinium	R03BB02	R03AL05,R03BB05	1.0	0.7098907
oxitropium	pinaverium	R03BB02	A03AX04	0.0	0.76882935
oxitropium	otilonium	R03BB02	A03AB06,A03CA04	0.0	0.80698055
oxitropium	fentonium	R03BB02	A03BB04	0.0	0.70645267
oxitropium	distigmine	R03BB02	N07AA03	0.0	0.72754174
oxitropium	demecarium	R03BB02	S01EB04	0.0	0.7274456
oxitropium	timepidium	R03BB02	A03AB19	0.0	0.7712221
abarelix	degarelix	L02BX01	L02BX02	1.0	0.7009204
alosetron	tegaserod	A03AE01	A06AX06	1.0	0.84293646
alosetron	prucalopride	A03AE01	A06AX05	1.0	0.7421213
alosetron	cilansetron	A03AE01	A03AE03	1.0	0.77223617
mexiletine	tocainide	C01BB02	C01BB03	1.0	0.7123464
mexiletine	sotalol	C01BB02	C07AA57,C07BA07,C07AA07	1.0	0.73359627
mexiletine	flecainide	C01BB02	C01BC04	1.0	0.7501244
mexiletine	quinidine	C01BB02	C01BA01,C01BA51,C01BA71	1.0	0.73207647
mexiletine	propafenone	C01BB02	C01BC03	1.0	0.7796847
mexiletine	dofetilide	C01BB02	C01BD04	1.0	0.7037894
mexiletine	disopyramide	C01BB02	C01BA03	1.0	0.7448818
brexpiprazole	lurasidone	N05AX16	N05AE05	1.0	0.8291014
brexpiprazole	asenapine	N05AX16	N05AH05	1.0	0.7560866
brexpiprazole	cariprazine	N05AX16	N05AX15	1.0	0.7925612
brexpiprazole	ziprasidone	N05AX16	N05AE04	1.0	0.7088144
brexpiprazole	vilazodone	N05AX16	N06AX24	1.0	0.73455954
brexpiprazole	amisulpride	N05AX16	N05AL05	1.0	0.72754484
spironolactone	eplerenone	C03DA01	C03DA04	1.0	0.8147203
spironolactone	lisinopril	C03DA01	C09AA03,C09BB03,C09BA03,C10BX07	1.0	0.704957
cabozantinib	regorafenib	L01XE26	L01XE21	1.0	0.7375951
cabozantinib	vandetanib	L01XE26	L01XE12	1.0	0.79673994
cabozantinib	ceritinib	L01XE26	L01XE28	1.0	0.74882054
cabozantinib	crizotinib	L01XE26	L01XE16	1.0	0.7396115
cabozantinib	pazopanib	L01XE26	L01XE11	1.0	0.7601197
cabozantinib	tivozanib	L01XE26	L01XE34	1.0	0.7321078
cabozantinib	axitinib	L01XE26	L01XE17	1.0	0.79493326
cabozantinib	lenvatinib	L01XE26	L01XE29	1.0	0.73597
amodiaquine	proguanil	P01BF03,P01BA06	P01BB51,P01BB01	1.0	0.7763475
amodiaquine	pyronaridine	P01BF03,P01BA06	P01BF06	1.0	0.7460989
dutasteride	finasteride	G04CB02,G04CA52	D11AX10,G04CB01,G04CA51	0.5	0.7827669
nefazodone	maprotiline	N06AX06	N06AA21	1.0	0.7312032
nefazodone	amineptine	N06AX06	N06AA19	1.0	0.73816586
nefazodone	protriptyline	N06AX06	N06AA11	1.0	0.7092569
nefazodone	clomipramine	N06AX06	N06AA04	1.0	0.7048662
nefazodone	viloxazine	N06AX06	N06AX09	1.0	0.742816
nefazodone	trazodone	N06AX06	N06AX05	1.0	0.72872305
nefazodone	mianserin	N06AX06	N06AX03	1.0	0.73671925
nefazodone	zimelidine	N06AX06	N06AB02	1.0	0.70067286
nefazodone	moclobemide	N06AX06	N06AG02	1.0	0.78739727
nefazodone	amoxapine	N06AX06	N06AA17	1.0	0.74403775
nefazodone	trimipramine	N06AX06	N06AA06	1.0	0.7726125
sumatriptan	naratriptan	N02CC01,G01AE10	N02CC02	0.5	0.7095375
sumatriptan	rizatriptan	N02CC01,G01AE10	N02CC04	0.5	0.72435385
sumatriptan	zolmitriptan	N02CC01,G01AE10	N02CC03	0.5	0.78709525
galsulfase	laronidase	A16AB08	A16AB05	1.0	0.7951357
galsulfase	idursulfase	A16AB08	A16AB09	1.0	0.806689
flurazepam	flunitrazepam	N05CD01	N05CD03	1.0	0.7677096
flurazepam	lormetazepam	N05CD01	N05CD06	1.0	0.71234345
flurazepam	brotizolam	N05CD01	N05CD09	1.0	0.786593
flurazepam	triazolam	N05CD01	N05CD05	1.0	0.7547369
flurazepam	nitrazepam	N05CD01	N05CD02	1.0	0.7470121
flurazepam	estazolam	N05CD01	N05CD04	1.0	0.7062212
flurazepam	zopiclone	N05CD01	N05CF01	1.0	0.7204503
flurazepam	quazepam	N05CD01	N05CD10	1.0	0.7494073
flurazepam	zaleplon	N05CD01	N05CF03	1.0	0.7490539
cefuroxime	cefazolin	S01AA27,J01DC02,J01RA03	J01DB04	0.5	0.7268611
albiglutide	exenatide	A10BX13	A10BX04	1.0	0.73235285
guanethidine	phentolamine	C02CC02,C02LF01,S01EX01	V03AB36,C04AB01	0.3333333333333333	0.7081862
guanethidine	phenoxybenzamine	C02CC02,C02LF01,S01EX01	C04AX02	0.5	0.7161005
teniposide	aclarubicin	L01CB02	L01DB04	1.0	0.7014707
teniposide	fotemustine	L01CB02	L01AD05	1.0	0.70546365
teniposide	vindesine	L01CB02	L01CA03	1.0	0.7017293
teniposide	semustine	L01CB02	L01AD03	1.0	0.7145274
teniposide	amsacrine	L01CB02	L01XX01	1.0	0.7791746
aclarubicin	amsacrine	L01DB04	L01XX01	1.0	0.72664475
yohimbine	phentolamine	G04BE04	V03AB36,C04AB01	0.0	0.7163996
yohimbine	prazosin	G04BE04	C02CA01,C02LE01	0.0	0.78330106
procarbazine	lomustine	L01XB01	L01AD02	1.0	0.74881774
ticarcillin	temocillin	J01CR03,J01CR50,J01CA13	J01CR50,J01CA17	1.0	0.71367455
ticarcillin	amdinocillin	J01CR03,J01CR50,J01CA13	J01CA11	1.0	0.7386289
ticarcillin	cefotetan	J01CR03,J01CR50,J01CA13	J01DC05	1.0	0.7354059
ticarcillin	cefmetazole	J01CR03,J01CR50,J01CA13	J01DC09	1.0	0.71300864
ticarcillin	azlocillin	J01CR03,J01CR50,J01CA13	J01CR50,J01CA09	1.0	0.7776747
ticarcillin	netilmicin	J01CR03,J01CR50,J01CA13	S01AA23,J01GB07	0.5	0.71212333
ticarcillin	carbenicillin	J01CR03,J01CR50,J01CA13	J01CR50,J01CA03	1.0	0.812483
ticarcillin	cefoperazone	J01CR03,J01CR50,J01CA13	J01DD12,J01DD62	1.0	0.70114434
ticarcillin	flomoxef	J01CR03,J01CR50,J01CA13	J01DC14	1.0	0.706517
ticarcillin	ceftizoxime	J01CR03,J01CR50,J01CA13	J01DD07	1.0	0.7476331
ticarcillin	cefamandole	J01CR03,J01CR50,J01CA13	J01DC03	1.0	0.7599809
ticarcillin	sulbactam	J01CR03,J01CR50,J01CA13	J01CG01	1.0	0.74807894
ticarcillin	cefpirome	J01CR03,J01CR50,J01CA13	J01DE02	1.0	0.7031531
ticarcillin	latamoxef	J01CR03,J01CR50,J01CA13	J01DD06	1.0	0.7007982
ticarcillin	mezlocillin	J01CR03,J01CR50,J01CA13	J01CR50,J01CA10	1.0	0.7637809
dronabinol	nabilone	A04AD10	A04AD11	1.0	0.7771998
tocainide	aprindine	C01BB03	C01BB04	1.0	0.759887
tocainide	moricizine	C01BB03	C01BG01	1.0	0.7626842
tocainide	encainide	C01BB03	C01BC08	1.0	0.7583273
tocainide	propafenone	C01BB03	C01BC03	1.0	0.74337095
tocainide	disopyramide	C01BB03	C01BA03	1.0	0.7273326
pentazocine	nalbuphine	N02AD01	N02AF02	1.0	0.78664345
pentazocine	dezocine	N02AD01	N02AX03	1.0	0.7478291
pentazocine	meperidine	N02AD01	N02AB72,N02AB52,N02AG03,N02AB02	1.0	0.7039214
pentazocine	nefopam	N02AD01	N02BG06	1.0	0.73085016
pentazocine	nalorphine	N02AD01	V03AB02	0.0	0.70699185
piperacillin	tazobactam	J01CA12,J01CR50,J01CR05	J01CG02	1.0	0.7840782
piperacillin	ceftolozane	J01CA12,J01CR50,J01CR05	J01DI54	1.0	0.74575317
piperacillin	doripenem	J01CA12,J01CR50,J01CR05	J01DH04	1.0	0.73167026
phenytoin	carbamazepine	N03AB02,N03AB52	N03AF01	1.0	0.708029
carboplatin	docetaxel	L01XA02	L01CD02	1.0	0.7045683
carboplatin	paclitaxel	L01XA02	L01CD01	1.0	0.7307847
carboplatin	capecitabine	L01XA02	L01BC06	1.0	0.7194428
carboplatin	pemetrexed	L01XA02	L01BA04	1.0	0.73030484
carboplatin	vinorelbine	L01XA02	L01CA04	1.0	0.71606094
carboplatin	cisplatin	L01XA02	L01XA01	1.0	0.7309884
carboplatin	irinotecan	L01XA02	L01XX19	1.0	0.707938
ketotifen	epinastine	S01GX08,R06AX17	R06AX24,S01GX10	1.0	0.7979199
ketotifen	levocetirizine	S01GX08,R06AX17	R06AE09	0.5	0.72906816
ketotifen	lodoxamide	S01GX08,R06AX17	S01GX05	0.5	0.74599254
ketotifen	rupatadine	S01GX08,R06AX17	R06AX28	0.5	0.7008409
ketotifen	azelastine	S01GX08,R06AX17	R01AC03,S01GX07,R06AX19	1.0	0.8024182
ketotifen	olopatadine	S01GX08,R06AX17	S01GX09,R01AC08	1.0	0.798652
ketotifen	mizolastine	S01GX08,R06AX17	R06AX25	0.5	0.7192572
ketotifen	oxatomide	S01GX08,R06AX17	R06AE06	0.5	0.7143993
ketotifen	clemastine	S01GX08,R06AX17	D04AA14,R06AA04,R06AA54	0.3333333333333333	0.759876
ketotifen	levocabastine	S01GX08,R06AX17	R01AC02,S01GX02	1.0	0.75613135
ketotifen	cetirizine	S01GX08,R06AX17	R06AE07	0.5	0.740797
ketotifen	loratadine	S01GX08,R06AX17	R06AX13	0.5	0.71345264
cefminox	ceforanide	J01DC12	J01DC11	1.0	0.70803535
cefminox	temocillin	J01DC12	J01CR50,J01CA17	1.0	0.7013587
cefminox	cefotetan	J01DC12	J01DC05	1.0	0.70713115
cefminox	cefmenoxime	J01DC12	J01DD05	1.0	0.78081775
cefminox	cefmetazole	J01DC12	J01DC09	1.0	0.7871441
cefminox	azlocillin	J01DC12	J01CR50,J01CA09	1.0	0.71150357
cefminox	cefonicid	J01DC12	J01DC06	1.0	0.7249516
cefminox	flomoxef	J01DC12	J01DC14	1.0	0.8122236
cefminox	cefpiramide	J01DC12	J01DD11	1.0	0.7213522
cefminox	ceftizoxime	J01DC12	J01DD07	1.0	0.7733061
cefminox	cefotiam	J01DC12	J01DC07	1.0	0.76229197
cefminox	cefozopran	J01DC12	J01DE03	1.0	0.726393
cefminox	latamoxef	J01DC12	J01DD06	1.0	0.7569597
cefminox	mezlocillin	J01DC12	J01CR50,J01CA10	1.0	0.7276563
perazine	zotepine	N05AB10	N05AX11	1.0	0.79230523
perazine	flupentixol	N05AB10	N05AF01	1.0	0.70071405
perazine	amineptine	N05AB10	N06AA19	1.0	0.7094102
perazine	clopenthixol	N05AB10	N05AF02	1.0	0.7029216
perazine	promazine	N05AB10	N05AA03	1.0	0.778632
perazine	amoxapine	N05AB10	N06AA17	1.0	0.741858
perazine	chlorprothixene	N05AB10	N05AF03	1.0	0.7269758
perazine	melperone	N05AB10	N05AD03	1.0	0.70417506
perazine	mesoridazine	N05AB10	N05AC03	1.0	0.7178794
perazine	bromperidol	N05AB10	N05AD06	1.0	0.7212659
perazine	trimipramine	N05AB10	N06AA06	1.0	0.75466615
modafinil	methylphenidate	N06BA07	N06BA04	1.0	0.7039323
lumiracoxib	etoricoxib	M01AH06	M01AH05	1.0	0.7510971
lumiracoxib	etodolac	M01AH06	M01AB08	1.0	0.78268945
lumiracoxib	nabumetone	M01AH06	M01AX01	1.0	0.7580724
lumiracoxib	valdecoxib	M01AH06	M01AH03	1.0	0.7628186
lumiracoxib	rofecoxib	M01AH06	M01AH02	1.0	0.76386863
acebutolol	bopindolol	C07AB04,C07BB04	C07CA17,C07AA17	1.0	0.7963116
acebutolol	celiprolol	C07AB04,C07BB04	C07AB08	1.0	0.8026015
acebutolol	trimazosin	C07AB04,C07BB04	C02CA03	1.0	0.7557123
acebutolol	penbutolol	C07AB04,C07BB04	C07CA23,C07AA23	1.0	0.74899006
acebutolol	bevantolol	C07AB04,C07BB04	C07AB06,C07BB06	1.0	0.7871209
acebutolol	pindolol	C07AB04,C07BB04	C07AA03,C07CA03	1.0	0.7022305
acebutolol	tertatolol	C07AB04,C07BB04	C07AA16	1.0	0.73571044
acebutolol	oxprenolol	C07AB04,C07BB04	C07CA02,C07BA02,C07AA02	1.0	0.80837685
acebutolol	alprenolol	C07AB04,C07BB04	C07AA01	1.0	0.7571365
acebutolol	betaxolol	C07AB04,C07BB04	C07AB05,S01ED52,S01ED02	0.5	0.71405077
acebutolol	practolol	C07AB04,C07BB04	C07AB01	1.0	0.72055066
acebutolol	nadolol	C07AB04,C07BB04	C07AA12,C07BA12	1.0	0.78906137
gestrinone	danazol	G03XA02	G03XA01	1.0	0.78064084
gestrinone	cetrorelix	G03XA02	H01CC02	0.0	0.7121682
gestrinone	norgestrel	G03XA02	G03FB01,G03AA06,G03FA10	1.0	0.74170053
gestrinone	dienogest	G03XA02	G03DB08,G03AB08,G03FA15,G03AA16	1.0	0.7451868
gestrinone	dydrogesterone	G03XA02	G03FA14,G03DB01,G03FB08	1.0	0.7150465
gestrinone	lynestrenol	G03XA02	G03AA03,G03DC03,G03AC02,G03FA07,G03AB02,G03FB02	1.0	0.802945
vemurafenib	erlotinib	L01XE15	L01XE03	1.0	0.72899497
vemurafenib	dabrafenib	L01XE15	L01XE23	1.0	0.7899125
vemurafenib	trametinib	L01XE15	L01XE25	1.0	0.7676641
retapamulin	nadifloxacin	D06AX13	D10AF05	1.0	0.7460805
retapamulin	ceftobiprole	D06AX13	J01DI01	0.0	0.7228626
bupivacaine	levobupivacaine	N01BB51,N01BB01	N01BB10	1.0	0.7584897
bupivacaine	lidocaine	N01BB51,N01BB01	C01BB01,N01BB02,D04AB01,R02AD02,S02DA01,C05AD01,S01HA07,N01BB52	0.2	0.70815593
azacitidine	lenalidomide	L01BC07	L04AX04	1.0	0.71596867
azacitidine	decitabine	L01BC07	L01BC08	1.0	0.8015209
azacitidine	bendamustine	L01BC07	L01AA09	1.0	0.7085406
avanafil	vardenafil	G04BE10	G04BE09	1.0	0.7161114
avanafil	tadalafil	G04BE10	G04BE08	1.0	0.7024738
lanreotide	pegvisomant	H01CB03	H01AX01	1.0	0.7054573
lanreotide	pasireotide	H01CB03	H01CB05	1.0	0.7865261
bupranolol	befunolol	C07AA19	S01ED06	0.0	0.7015949
bupranolol	tertatolol	C07AA19	C07AA16	1.0	0.7479687
bupranolol	alprenolol	C07AA19	C07AA01	1.0	0.79979604
bupranolol	practolol	C07AA19	C07AB01	1.0	0.7317832
ketorolac	parecoxib	M01AB15,S01BC05	M01AH04	0.5	0.71870744
ketorolac	lornoxicam	M01AB15,S01BC05	M01AC05	0.5	0.7114358
ketorolac	nefopam	M01AB15,S01BC05	N02BG06	0.0	0.7383151
ketorolac	dexketoprofen	M01AB15,S01BC05	M02AA27,M01AE17	0.5	0.7461205
norgestimate	gestodene	G03AA11,G03FA13	G03AA10,G03AB06	1.0	0.83561057
